SPCD,DIVISION,STDORGCD,model,a,b,c
835,230,,1,0.004302057,1.872930558,0.951103033
835,,,1,0.00458854,1.892606925,0.924456014
837,220,,1,0.003464782,1.872027401,1.014429042
837,230,,1,0.002738276,1.943518383,1.013256316
837,M210,,1,0.004565146,1.945777051,0.905805296
837,M220,,1,0.003824181,1.881295873,0.971967765
837,,,1,0.003825882,1.884143669,0.975069806
838,230,,1,0.004272531,1.660100186,1.08458101
838,,,1,0.004272531,1.660100186,1.08458101
901,M220,,1,0.00225478,1.769392782,1.152197049
901,,,1,0.002251157,1.768016478,1.153148226
920,,,1,0.003580418,1.946707982,0.948525833
922,,,1,0.003580418,1.919871546,0.948525833
931,,,1,0.004136564,1.898781952,0.938705552
950,210,,1,0.005257834,1.869443541,0.939532292
950,M220,,1,0.003427676,1.896755116,0.993904802
950,,,1,0.007321359,1.951170979,0.805143254
951,210,,1,0.003774408,1.961773442,0.94309389
951,220,,1,0.004689747,1.965656594,0.88168785
951,,,1,0.00255697,1.885138801,1.080830675
970,230,,1,0.002071783,1.748204848,1.189345219
970,,,1,0.002542263,1.779722361,1.122750491
971,,,1,0.004136564,1.884745084,0.938705552
972,210,,1,0.002855333,1.605873753,1.175407697
972,,,1,0.004826034,1.84108215,0.918996381
975,,,1,0.004136564,1.921022044,0.938705552
999,230,,1,0.004694069,1.888823686,0.907508647
999,M220,,1,0.005344668,1.834087349,0.913366179
999,,,1,0.004195807,1.856555121,0.960749774
